Cost: 1952  |  Time: 6.06574010848999   
Cost: 1630  |  Time: 1.929410696029663   
Cost: 1845  |  Time: 3.4201927185058594   
Cost: 1774  |  Time: 3.184103012084961   
Cost: 1831  |  Time: 3.2142696380615234   
Cost: 1759  |  Time: 2.611008644104004   
Cost: 1845  |  Time: 3.4859766960144043   
Cost: 1900  |  Time: 2.8397340774536133   
Cost: 1720  |  Time: 2.7141122817993164   
Cost: 1853  |  Time: 3.5206713676452637   
Cost: 1799  |  Time: 3.357563018798828   
Cost: 1904  |  Time: 4.954857349395752   
Cost: 1772  |  Time: 3.489152431488037   
Cost: 1861  |  Time: 2.7807693481445312   
Cost: 1855  |  Time: 2.823343515396118   
Cost: 1741  |  Time: 2.220844268798828   
Cost: 1617  |  Time: 2.747274398803711   
Cost: 1681  |  Time: 2.43742299079895   
Cost: 1682  |  Time: 2.3802435398101807   
Cost: 1889  |  Time: 2.8166491985321045   
